Index,School,Ranking,Class
322,BIRMINGHAM-SOUTHERN,16.2,DIVISION 3
323,BLUFFTON,2.8,DIVISION 3
324,BOWDOIN,3.4,DIVISION 3
325,BREVARD -NC,18.2,DIVISION 3
326,BRIDGEWATER-MASS.,15.0,DIVISION 3
327,BRIDGEWATER-VA.,39.0,DIVISION 3
328,BROCKPORT STATE,37.5,DIVISION 3
329,BUENA VISTA,4.7,DIVISION 3
330,BUFFALO STATE,6.8,DIVISION 3
331,CALIFORNIA LUTHERAN,18.5,DIVISION 3
332,CAPITAL,-1.2,DIVISION 3
333,CARLETON,6.9,DIVISION 3
334,CARNEGIE MELLON,27.9,DIVISION 3
335,CARROLL-WISCONSIN,4.9,DIVISION 3
336,CARTHAGE,29.9,DIVISION 3
337,CASE WESTERN,38.2,DIVISION 3
338,CASTLETON STATE,-13.7,DIVISION 3
339,CATHOLIC UNIVERSITY,-9.2,DIVISION 3
340,CENTRAL COLLEGE-IOWA,30.2,DIVISION 3
341,CENTRE,24.6,DIVISION 3
342,CHAPMAN,32.7,DIVISION 3
343,CHICAGO,20.6,DIVISION 3
344,CHRISTOPHER NEWPORT,7.2,DIVISION 3
345,CLAREMONT-MUDD- SCRIPPS,12.4,DIVISION 3
346,COAST GUARD,1.5,DIVISION 3
347,COE,21.1,DIVISION 3
348,COLBY,6.5,DIVISION 3
349,CONCORDIA - ILL,-3.2,DIVISION 3
350,CONCORDIA WISC.,5.9,DIVISION 3
351,CONCORDIA-MOORHEAD,29.2,DIVISION 3
352,CORNELL-IA.,-19.0,DIVISION 3
353,CORTLAND STATE,48.1,DIVISION 3
354,CROWN,-15.0,DIVISION 3
355,CURRY,-8.4,DIVISION 3
356,DARTMOUTH-MASS.,15.4,DIVISION 3
357,DEAN,-18.8,DIVISION 3
358,DEFIANCE,-30.3,DIVISION 3
359,DELAWARE VALLEY,42.5,DIVISION 3
360,DENISON,37.0,DIVISION 3
361,DEPAUW,14.3,DIVISION 3
362,DICKINSON,27.8,DIVISION 3
363,DUBUQUE,26.4,DIVISION 3
